Ano,semana,TempMin,TempMax,Chuva,Casos
2024,1,15.60,35.40,40.60,28
2024,2,17.00,32.70,12.20,91
2024,3,15.70,31.60,57.00,84
2024,4,13.20,30.60,10.20,79
2024,5,16.60,31.70,92.40,116
2024,6,18.10,32.50,1.40,130
2024,7,15.90,28.10,87.60,208
2024,8,17.40,31.70,33.20,454
2024,9,18.70,31.80,34.00,317
2024,10,16.20,30.30,9.40,399
2024,11,16.20,33.10,9.00,548
2024,12,14.50,32.10,5.60,839
2024,13,13.70,29.80,0.20,1284
2024,14,15.50,30.90,21.80,1386
2024,15,16.70,26.90,101.20,1488
2024,16,9.30,27.90,1.00,1322
2024,17,16.30,30.00,3.60,1259
2024,18,15.90,30.50,1.80,1246
2024,19,12.50,28.90,14.40,1578
2024,20,11.90,26.70,64.60,1407
2024,21,9.10,26.70,62.60,1096
2024,22,5.10,18.90,0.00,442
